Word,Freq,Freq(%)
shown,11,0.013746562,
sick,11,0.013746562,
silence,11,0.013746562,
six,11,0.013746562,
sky,11,0.013746562,
somewhat,11,0.013746562,
spirit,11,0.013746562,
spoiled,11,0.013746562,
struck,11,0.013746562,
sudden,11,0.013746562,
tedious,11,0.013746562,
town,11,0.013746562,
tragic,11,0.013746562,
troubled,11,0.013746562,
type,11,0.013746562,
understood,11,0.013746562,
value,11,0.013746562,
walking,11,0.013746562,
windows,11,0.013746562,
worth,11,0.013746562,
wrought,11,0.013746562,
adrian,10,0.0124968765,
altered,10,0.0124968765,
assure,10,0.0124968765,
blossoms,10,0.0124968765,
cruelty,10,0.0124968765,
deep,10,0.0124968765,
dreadfully,10,0.0124968765,
dream,10,0.0124968765,
dressed,10,0.0124968765,
drove,10,0.0124968765,
elaborate,10,0.0124968765,
everybody,10,0.0124968765,
exhibit,10,0.0124968765,
eye,10,0.0124968765,
faces,10,0.0124968765,
fatal,10,0.0124968765,
fine,10,0.0124968765,
frowned,10,0.0124968765,
future,10,0.0124968765,
george,10,0.0124968765,
gladys,10,0.0124968765,
grow,10,0.0124968765,
hard,10,0.0124968765,
hated,10,0.0124968765,
hesitated,10,0.0124968765,
history,10,0.0124968765,
horse,10,0.0124968765,
hundred,10,0.0124968765,
indifferent,10,0.0124968765,
infinite,10,0.0124968765,
intellect,10,0.0124968765,
king,10,0.0124968765,
kissed,10,0.0124968765,
led,10,0.0124968765,
living,10,0.0124968765,
month,10,0.0124968765,
murder,10,0.0124968765,
murdered,10,0.0124968765,
paper,10,0.0124968765,
park,10,0.0124968765,
playing,10,0.0124968765,
prayer,10,0.0124968765,
presence,10,0.0124968765,
pure,10,0.0124968765,
ready,10,0.0124968765,
realize,10,0.0124968765,
sad,10,0.0124968765,
safe,10,0.0124968765,
shadow,10,0.0124968765,
sister,10,0.0124968765,
sleep,10,0.0124968765,
sorrow,10,0.0124968765,
straight,10,0.0124968765,
thinking,10,0.0124968765,
third,10,0.0124968765,
threw,10,0.0124968765,
throat,10,0.0124968765,
thrust,10,0.0124968765,
trust,10,0.0124968765,
waited,10,0.0124968765,
week,10,0.0124968765,
wine,10,0.0124968765,
worse,10,0.0124968765,
worshipped,10,0.0124968765,
actress,9,0.011247189,
allowed,9,0.011247189,
aside,9,0.011247189,
beneath,9,0.011247189,
bound,9,0.011247189,
broken,9,0.011247189,
brother,9,0.011247189,
burden,9,0.011247189,
ceased,9,0.011247189,
charmed,9,0.011247189,
clever,9,0.011247189,
coarse,9,0.011247189,
corruption,9,0.011247189,
cup,9,0.011247189,
delicate,9,0.011247189,
duke,9,0.011247189,
eleven,9,0.011247189,
faint,9,0.011247189,
fall,9,0.011247189,
fascinated,9,0.011247189,
fashionable,9,0.011247189,
figure,9,0.011247189,
frame,9,0.011247189,
francis,9,0.011247189,
friendship,9,0.011247189,
golden,9,0.011247189,
greek,9,0.011247189,
ground,9,0.011247189,
hansom,9,0.011247189,
held,9,0.011247189,
high,9,0.011247189,
image,9,0.011247189,
interested,9,0.011247189,
ivory,9,0.011247189,
jewelled,9,0.011247189,
leaning,9,0.011247189,
locked,9,0.011247189,
madness,9,0.011247189,
marred,9,0.011247189,
mask,9,0.011247189,
natural,9,0.011247189,
nice,9,0.011247189,
nonsense,9,0.011247189,
older,9,0.011247189,
passing,9,0.011247189,
pink,9,0.011247189,
promised,9,0.011247189,
